age,language,urban_rural,region,electricity_nearby,piped_water_nearby,sweage_system_nearby,post_office_nearby,school_nearby,soldiers_nearby,customs_checkpoints_nearby,situation_country,situation_personal,armed_forces_trust,courts_law_trust
28,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Somewhat
45,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
30,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
30,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Not at all,Don’t know
58,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
60,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
30,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
33,Agatu,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,A lot
25,Idoma,Rural,BENUE,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Just a little,Not at all
31,Agatu,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,A lot
27,Agatu,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Somewhat,Not at all
25,English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
27,Esan,Urban,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
18,Esan,Urban,EDO,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Not at all
58,English,Urban,EDO,Yes,No,No,No,Yes,No,No,Very good,Very good,Not at all,A lot
39,Edo,Urban,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
42,English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Fairly Good,Very good,Not at all,Not at all
19,English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Not at all,Not at all
40,Esan,Urban,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Just a little,Not at all
35,Esan,Urban,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Just a little,Just a little
70,Esan,Urban,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Just a little,Just a little
22,English,Urban,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
20,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Very Bad,Very Bad,Just a little,Somewhat
54,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Good,Fairly Good,A lot,A lot
80,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
60,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
43,Other,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Just a little,Just a little
22,English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
42,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,Just a little
66,English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Somewhat,Somewhat
59,English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Very Bad,Fairly Bad,Somewhat,Not at all
43,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Just a little
19,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
37,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,Just a little
34,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
22,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Not at all
30,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
21,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Fairly Good,Just a little,Don’t know
22,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
26,Idoma,Urban,OSUN,Yes,No,No,No,No,No,No,Very Bad,Very Bad,Not at all,Not at all
45,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Somewhat
21,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
60,Yoruba,Urban,OSUN,Yes,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
39,Pidgin English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Very Bad,Fairly Bad,Not at all,Not at all
28,Pidgin English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Very Bad,Fairly Good,Not at all,Not at all
33,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Don’t know
25,Pidgin English,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Fairly Bad,Very Bad,Not at all,Not at all
22,Other,Rural,RIVERS,No,No,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Bad,Not at all,Not at all
72,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,A lot,Somewhat
32,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Just a little
85,Edo,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Very good,Just a little,A lot
27,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
45,Esan,Rural,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Not at all
19,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Somewhat,Somewhat
27,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
18,Idoma,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,Somewhat,Just a little
36,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Just a little
63,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
30,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Just a little
27,Igala,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
46,Urhobo,Rural,EDO,Yes,No,No,No,Yes,No,No,Neither good nor bad,Very Bad,Somewhat,Just a little
47,Igbo,Rural,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,A lot
19,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Somewhat
35,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Bad,Somewhat,Just a little
67,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,A lot,Don’t know
32,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
41,English,Rural,RIVERS,No,No,No,No,Yes,No,No,Fairly Good,Very Bad,Not at all,Not at all
25,Other,Rural,RIVERS,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
45,Pidgin English,Rural,RIVERS,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
40,English,Rural,RIVERS,No,No,No,No,Yes,No,No,Very good,Very good,Just a little,Just a little
27,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Very good,Just a little,Somewhat
30,English,Rural,RIVERS,No,No,No,No,Yes,No,No,Fairly Good,Very good,Not at all,Not at all
30,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
50,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Somewhat
20,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
20,Other,Rural,RIVERS,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Not at all
55,Other,Rural,RIVERS,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,Yoruba,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Don’t know
57,English,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Somewhat
46,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
32,English,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Not at all,Just a little
23,English,Rural,RIVERS,No,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Not at all,Not at all
38,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
40,Edo,Rural,EDO,Yes,No,No,No,Yes,No,No,Very good,Very good,Somewhat,Not at all
40,English,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Somewhat
39,Other,Rural,EDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Just a little
45,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Just a little
43,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Just a little,Just a little
45,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Just a little
22,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
31,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
35,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Somewhat
62,Yoruba,Urban,OSUN,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
40,Igbo,Urban,BENUE,Yes,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Just a little
19,Pidgin English,Urban,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Somewhat
61,Pidgin English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
35,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,Somewhat,Just a little
36,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
50,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Not at all
40,Pidgin English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Just a little
45,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
36,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
45,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
50,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Not at all
35,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Good,Don’t know,Don’t know
30,Fulani,Rural,ONDO,No,No,No,No,No,No,No,Neither good nor bad,Fairly Bad,Somewhat,Somewhat
34,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Just a little
45,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Somewhat
23,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Somewhat
28,Tiv,Urban,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
45,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
22,Other,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
34,Other,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
44,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
37,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
25,Fulani,Rural,ONDO,No,No,No,No,No,No,No,Fairly Good,Fairly Good,A lot,Somewhat
43,Hausa,Rural,ONDO,No,No,No,No,No,No,No,Don't know,Fairly Good,Just a little,Somewhat
28,Hausa,Rural,ONDO,No,No,No,No,No,No,No,Don't know,Fairly Good,A lot,A lot
30,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
23,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Very Bad,Neither good nor bad,A lot,A lot
38,Yoruba,Urban,OSUN,Yes,No,Yes,No,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
20,Fulani,Rural,ONDO,No,No,No,No,No,No,No,Fairly Good,Fairly Bad,Somewhat,Somewhat
25,Hausa,Rural,ONDO,No,No,No,No,No,No,No,Fairly Good,Very good,Just a little,Just a little
47,Fulani,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Very Bad,Somewhat,Don’t know
22,Hausa,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Very Bad,Not at all,Somewhat
35,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Just a little,Just a little
33,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
35,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
27,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
21,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
25,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Not at all
23,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Very good,A lot,Don’t know
40,Ogoni,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
36,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
40,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Neither good nor bad,Fairly Good,Somewhat,Not at all
48,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
65,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Just a little
22,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Neither good nor bad,Somewhat,Just a little
23,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
33,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Somewhat,Somewhat
36,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Just a little
19,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Very good,Just a little,Don’t know
19,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Somewhat
55,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Fairly Bad,Just a little,Just a little
28,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Fairly Good,Neither good nor bad,Somewhat,Somewhat
46,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
22,English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Somewhat,Not at all
45,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Neither good nor bad,Fairly Good,Just a little,Somewhat
30,Ikwere,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Good,Not at all,Not at all
28,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Very good,Very good,Somewhat,Somewhat
45,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Not at all
20,English,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Fairly Bad,Fairly Bad,Somewhat,Just a little
35,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Fairly Good,Fairly Good,Not at all,Just a little
28,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Fairly Bad,Fairly Bad,A lot,A lot
18,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Very Bad,Very Bad,A lot,A lot
54,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Fairly Good,Fairly Bad,Not at all,Not at all
23,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Don’t know,Don’t know
35,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
25,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Somewhat
26,Igbo,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
24,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Just a little
28,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
20,Hausa,Rural,ZAMFARA,No,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
50,Yoruba,Urban,KWARA,Yes,Yes,Yes,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Just a little,Don’t know
40,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Fairly Bad,Neither good nor bad,A lot,Just a little
28,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Very good,Very good,Not at all,Just a little
32,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Very Bad,Very Bad,Not at all,Not at all
30,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Fairly Bad,Fairly Good,Just a little,A lot
45,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
40,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Fairly Good,Very good,Somewhat,Just a little
27,Tiv,Rural,BENUE,No,No,No,No,No,No,No,Very good,Very good,Just a little,Just a little
27,Yoruba,Urban,ONDO,Yes,Can't determine,No,Can't determine,Yes,No,Yes,Very Bad,Very Bad,Not at all,Not at all
40,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Somewhat
32,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Just a little
31,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
48,Yoruba,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Fairly Bad,Neither good nor bad,A lot,Somewhat
22,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Just a little,Not at all
35,Yoruba,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Fairly Good,Fairly Good,Somewhat,Not at all
35,Other,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Fairly Good,Fairly Bad,Just a little,Just a little
40,Yoruba,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Neither good nor bad,Neither good nor bad,Just a little,Just a little
24,Other,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Very Bad,Very Bad,Just a little,Just a little
22,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Just a little,Somewhat
38,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Just a little
32,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Very Bad,Very good,Not at all,Just a little
50,Yoruba,Rural,ONDO,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Somewhat
18,Yoruba,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Very Bad,Neither good nor bad,Somewhat,Not at all
50,Yoruba,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Fairly Bad,Fairly Bad,Somewhat,Just a little
50,Other,Rural,KWARA,Yes,No,No,No,Yes,No,Can't determine,Fairly Good,Fairly Bad,Just a little,Just a little
55,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
45,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
72,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Not at all
32,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Good,Very good,A lot,Somewhat
30,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
24,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Don’t know,Don’t know
33,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Not at all,Not at all
50,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Just a little,Just a little
35,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
24,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
69,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,Not at all
31,Tiv,Rural,BENUE,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Not at all
55,Igbo,Rural,ONDO,No,No,No,No,No,No,No,Fairly Bad,Neither good nor bad,Not at all,Not at all
39,Yoruba,Rural,ONDO,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
22,Yoruba,Rural,ONDO,No,No,No,No,No,No,No,Very good,Very good,Just a little,Just a little
29,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
19,Igbo,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Fairly Bad,Just a little,Somewhat
35,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
55,Ijaw,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
43,English,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
33,Ijaw,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
35,Pidgin English,Rural,BAYELSA,No,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Don’t know,Not at all
24,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
40,Hausa,Urban,KATSINA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
35,Igbo,Rural,ONDO,No,No,No,No,No,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
30,Igala,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Very Bad,A lot,Not at all
45,English,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Very Bad,Not at all,Not at all
39,Igbo,Rural,ONDO,No,No,No,No,No,No,No,Very Bad,Fairly Good,Somewhat,Somewhat
22,English,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Just a little
38,English,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Just a little,Not at all
22,Ijaw,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
30,Ijaw,Rural,BAYELSA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
18,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
60,Other,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
35,Igbo,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
25,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Somewhat
35,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
52,Other,Urban,TARABA,Yes,Yes,No,No,No,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
30,Other,Urban,TARABA,Yes,Yes,No,No,No,No,No,Very good,Fairly Good,Somewhat,Just a little
41,Other,Urban,TARABA,Yes,Yes,No,No,No,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
18,Other,Urban,TARABA,Yes,Yes,No,No,No,No,No,Very Bad,Fairly Bad,Not at all,Just a little
25,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
45,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
19,Yoruba,Urban,KWARA,Yes,No,Yes,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
35,Hausa,Urban,KATSINA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Good,Just a little,Just a little
37,Other,Urban,TARABA,Yes,Yes,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Just a little
